author,year,category,sub_category_I,sub_category_II,task,sub_task,title,journal,ml_type,neuralNetwork_type,neuralNetwork_name,hiddenLayers,training_process,inputs,outputs,data_domain,data_type,data_size,performance_metrice,performance_score,baseline,notes
Fabien-Ouellet,2020,Inverse Problems,Active Seismology,Subsurface Characterization,['Velocity Model Building'],,Seismic velocity estimation: A deep recurrent neural-network approach,Geophysics,['ANN'],"['CNN', 'RNN']",['LSTM'],"[32, 32, 200, 200]",['Supervised_Learning'],['semblance of the NMO-corrected gather'],"['the arrival time of the primary reflections', 'the rms velocity profile in time', 'the interval velocity profile in time']",['time'],['synthetic'],[40000],[],[],[]," developed a deep neural network, whose design was inspired by the information flow found in semblance analysis. The network replaces semblance estimation by a representation built with a deep convolutional neural network, and then it performs velocity estimation automatically with recurrent neural networks. First, we want to know what kind of network architecture is suitable to estimate velocities directly from the seismic waveforms. Second, we want to determine if a NN can be trained on synthetic data and still perform well with real data"
Fang,2020,Inverse Problems,Active Seismology,Subsurface Characterization,['Velocity Model Building'],,Deep generator priors for Bayesian seismic inversion, Advances in Geophysics ,['ANN'],"['CNN', 'FC']",['GAN'],"[128, 128, 128, 64, 64, 64, 32, 64, 128, 1]",['Supervised_Learning'],"['the prior PDF, a 1D vector of 50 elements']",['2D velocity model'],[],['field'],[79048],[],[],"['tomography', 'FWI']"," @@ used GAN for automatic learning of a low-dimension prior PDF from seismic velocity models and used it for travel-time tomography and FWI seismic inversions in a Bayesian framework. Developed a Bayesian seismic inversion framework in which the prior information is learned with a deep generative adversarial network. They train a GAN that can map a low-dimensional normal distribution to the high-dimensional distribution of the training images. This has three main advantages: 1) conducting Bayesian inversions in the low-dimensional latent space instead of the original high-dimensional image space. As a result, reducing the complexity of the problem and mitigate the curse of dimensionality that Bayesian inversions typically suffer from. 2) automatic learning of more details directly from the existing training data. This enables the GAN prior generator to produce geologically plausible prior subsurface images that conventional handcrafted priors cannot produce. 3) according to the aforementioned setting of the training procedure, the prior PDF in the low-dimensional latent space is the simple normal distribution without complicated human-made design."
Feng,2020,Inverse Problems,Active Seismology,Subsurface Characterization,['Velocity Model Building'],,Multiscale Data-driven Seismic Full-waveform Inversion with Field Data Study,arXive,['ANN'],['CNN'],"['VGG', 'U-Net']","[32, 64, 128, 256, 512, 1024, 1024, 512, 246, 128, 64, 32]",['Supervised_Learning'],[],[],[],['synthetic'],[64000],[],[],[]," @@ develop a multiscale data driven FWI method based on the fully convolutional network (FCN). In preparing the training data, we first develop a realtime style transform method to create a large set of physically realistic subsurface velocity maps from natural images. We then develop two convolutional neural networks with encoder-decoder structure to reconstruct the low- and high-frequency components of the subsurface velocity maps, respectively."
Gao,2020,Inverse Problems,Active Seismology,Subsurface Characterization,['Impedance Model Building'],,OMMDE-Net: A Deep Learning-Based GlobalvOptimization Method for Seismic Inversion,IEEE-GRSL,['ANN'],['FC'],[],[],['Supervised_Learning'],[],[],[],['synthetic'],[],[],[],[]," @@ The proposed method is a development of the existing method MMDE-Net by introducing a learnable strategy for choosing problem-dependent basis vectors and regularization parameters that are considered to be fixed in MMDE-Net. develop MMDE-Net (Gao_2019, TGRS) to further improve its performance. We propose a new deep network called optimized MMDE-Net (OMMDE-Net) based on MMDE-Net. Our key contributions are twofold. 1) In the mutation layer, we learn a problem-dependent strategy for basis vector selection. 2) Moreover, we learn the regularization parameter rather than using an expert specified parameter in inversion."
Gao,2020,Inverse Problems,Active Seismology,Subsurface Characterization,['Impedance Model Building'],,Large-Dimensional Seismic Inversion Using Global Optimization With Autoencoder-Based Model Dimensionality Reduction,IEEE-TGRS,['ANN'],['FC'],['Autoencoder'],"[200, 30, 200]",['Unsupervised_Learning'],['1D impedance'],['1D impedance'],['time'],['synthetic'],[2400],[],[],"['DE', 'CCDE']"," @@ The global optimization methods, that are commonly used for nonlinear inversions without requiring an accurate initial model, are not efficient for large-dimension seismic inversion problems. Here an autoencoder network based on fully connected layers is used for the sparse reparametrization and dimensionality reduction of large-dimensional 1-D poststack seismic impedance. The seismic inversion problem then can effectively and efficiently solved in a low-dimension space by global optimization. First an autoencoder is trained to learn how to encode a large-dimensional input data to a low-dimensional representation and how to decode it back. Then, based on the learned encoder and decoder operators, the original large dimensional inverse problem is transformed into a low-dimensional problem and use differential evolution method as a global optimization technique to search for the optimal model inside the low-dimensional model space. The misfit is calculated in the large-dimension data space while the search is done in the low-dimension feature space. Finally, the optimal low-dimensional model is decoded back to the large dimensional model space to derive the result of the inverse problem. The proposed method can converge faster and yield better inversion results compared with common methods. (reparametrization, representation learning, skelonetizing of seismic impedance, deterministic inversion, The sparse parameterization method, unsupervised)"
Hateleya,2020,Inverse Problems,Active Seismology,Subsurface Characterization,['Velocity Model Building'],,Deep learning seismic substructure detection using the Frozen Gaussian approximation,Journal of Computational Physics,['ANN'],"['CNN', 'FC']","['ResNet', 'U-Net']",[],['Supervised_Learning'],[],[],[],['synthetic'],[6400],[],[],[],"propose a deep learning algorithm for seismic interface and pocket detection with neural networks trained by synthetic high-frequency displacement data efficiently generated by the frozen Gaussian approximation (FGA). In seismic imaging high-frequency data is ad-vantageous since it can provide high resolution of substructures. However, generation of sufficient synthetic high-frequency data sets for training neural networks is computation-ally challenging. This bottleneck is overcome by a highly scalable computational platform built upon the FGA, which comes from the semiclassical theory and approximates the wavefields by a sum of fixed-width (frozen) Gaussian wave packets. Training data for deep neural networks is generated from a forward simulation of the elas-tic wave equation using the FGA. This data contains accurate traveltime information (from the ray path) but not exact amplitude information (with asymptotic errors not shrinking to zero even at extremely fine numerical resolution). Using this data we build convolutional neural network models using an open source API, GeoSeg, developed using Keras and Ten-sorflow. On a simple model, networks, despite only being trained on data generated by the FGA, can detect an interface with a high success rate from displacement data generated by the spectral element method. Benchmark tests are done for P-waves (acoustic) and P-and S-waves (elastic) generated using the FGA and a spectral element method. Further, results with a high accuracy are shown for more complicated geometries including a three-layered model, a sine interface, and a 2D-pocket model where the neural networks are trained by both clean and noisy data."
He,2020,Inverse Problems,Active Seismology,Subsurface Characterization,['Velocity Model Building'],,Reparameterized full-waveform inversion using deep neural networks,Geophysics,['ANN'],['CNN'],[],"[16, 32, 64, 128, 64, 32]",['Supervised_Learning'],[],[],[],[],[],[],[],[]," @@ * considered a general inversion method using a deep neural network (DNN) for the FWI problem. This deep learning inversion method reparameterizes physical parameters using the weights of a DNN, such that the inversion amounts to reconstructing these weights. One advantage of this deep learning inversion method is that it can serve as an iterative regularization method, benefiting from the representation of the network. Thus, it is suitable to solve ill-posed nonlinear inverse problems. Furthermore, this method possesses good computational efficiency because it only requires first-order derivatives. In addition, it can easily be accelerated by using multiple graphics processing units and central processing units. For this deep-learning inversion method, the physical parameters are first parameterized with weights of a DNN. Thus, the unknown parameters become the neural network weights associated with the unknown physical parameters. The neural network weights can be efficiently determined using the Adam optimization method widely used in the field of DNNs. "
Li,2020,Inverse Problems,Active Seismology,Subsurface Characterization,['Velocity Model Building'],,Deep-learning assisted regularized elastic full waveform inversion using the velocity distribution information from wells,GJI,['ANN'],['FC'],[],"[64, 64, 64, 64]",['Semi-Supervised_Learning'],"['Mean-P', 'Mean-S', 'std-P', 'std-S']",['probabilities of being certain facies'],[],[],[],[],[],[]," @@ regularization - introduce a regularization technique, which combines the surface seismic and well log data, to help improve the resolution of EFWI. We use deep neural networks to learn the statistical relations between some selected features of the inverted model and the facies interpreted from well logs. The selected features are the means and variances of the inverted velocities define within Gaussian windows. Using multiple fully connected layers, we train our neural networks to identify the relation between the means and variances at the well location and those from the inverted model. The network is used to map the means and variances extracted from the well to the whole model domain.We then perform another EFWI in which we fit the predicted data to the observed ones as well as fit the model over a Gaussian window to the predicted means and variances"
Li,2020,Inverse Problems,Active Seismology,Subsurface Characterization,['Velocity Model Building'],,Target-oriented time-lapse waveform inversion using deep learning assisted regularization,Geophysics,['ANN'],['FC'],[],"[64, 64, 64, 64]",['Semi-Supervised_Learning'],"['Mean-P', 'Mean-S', 'std-P', 'std-S']",['probabilities of being certain facies'],[],[],[],[],[],[]," introduce a regularization technique, which combines the surface seismic and well log data, to help improve the resolution of EFWI. We use deep neural networks to learn the statistical relations between some selected features of the inverted model and the facies interpreted from well logs. The selected features are the means and variances of the inverted velocities define within Gaussian windows. Using multiple fully connected layers, we train our neural networks to identify the relation between the means and variances at the well location and those from the inverted model. The network is used to map the means and variances extracted from the well to the whole model domain.We then perform another EFWI in which we fit the predicted data to the observed ones as well as fit the model over a Gaussian window to the predicted means and variances"
Liu,2020,Inverse Problems,Active Seismology,Subsurface Characterization,['Velocity Model Building'],,Deep-learning seismic full-waveform inversion for realistic structural models,Geophysics,['ANN'],"['CNN', 'FC']",[],[],['Supervised_Learning'],[],[],[],['synthetic'],[18000],"['MAE', 'MSE', 'SSIM', 'MSSIM']",[],['SeisInvNet']," @@ develop a method to build realistic structural models, i.e., dense-layer models, fault models, and salt body models, and a complete framework for compressional-wave (P-wave) velocity model inversion using the deep neural network. The research consists of two major aspects. First, to obtain as many complex models as possible, the model building process is designed. In total, 18,000 dense-layer/fault/salt body models are acquired, which provide sufficient data for the network training."
Liu,2020,Inverse Problems,Active Seismology,Subsurface Characterization,['Velocity Model Building'],,Machine Learning-Based Seafloor Seismic Prestack Inversion,IEEE-TGRS,['ANN'],['FC'],[],"['?', '?', '?', '?', '?', '?']",['Supervised_Learning'],['AVO response of the seafloor'],"['P-wave velocity', 'S-wave velocity', 'density']",['prestack'],['synthetic'],[],[],[],[],"In this study, a six-layer neural network is designed to estimate seafloor properties using seismic prestack data. In conjunction with the designed neural network architecture, a straightforward network training scheme is developed, which is efficient with two matrix inversions. The trained neural network performs the inversion by directly mapping the seismic prestack data to seafloor elastic parameters, and therefore, it does not suffer from the typical problems, such as initial model, convergence, and local minima problems encountered in conventional iteration optimizationbased inversion methods. The inversion accuracy of the network is comparable to that of the conventional inversion method, which means that the network architecture and corresponding training scheme proposed in this research are reliable for applications involving seafloor seismic prestack inversion. "
Mohamed,2020,Inverse Problems,Active Seismology,Subsurface Characterization,['Velocity Model Building'],,A new approach to improve reservoir modeling via machine learning,The Leading Edge,['ANN'],['FC'],[],"['?', '?']",['Supervised_Learning'],[],[],[],[],[],[],[],[],the trained network to the 3D seismic and inversion volumes to predict the target reservoir property.
Mosser,2020,Inverse Problems,Active Seismology,Subsurface Characterization,['Velocity Model Building'],FWI,Stochastic seismic waveform inversion using generative adversarial networks as a geological prior,Mathematical Geosciences,['ANN'],['CNN'],['GAN'],"['?', '?', '?', '?', '?', '?']",['Supervised_Learning'],[],[],[],['synthetic'],[10000],[],[],[],"@@ Used a deep generative adversarial network for reparametrization of the earth model in a low-dimension latent space. This generative-based representation of the model parameters is then combined with a numerical wave-equation-bases simulation and is used as a differentiable priori for seismic FWI in a Bayesian framework. An efficient sampling from the posterior distribution of earth models is performed by an approximation method in the lower-dimensional latent space. The required gradient for the sampling approach is obtained from the adjoint method and neural network back-propagation. (model reparametrization, stochastic inversion of FWI, Ill-posed problems, Wasserstein-GAN)"
Ren,202,Inverse Problems,Active Seismology,Subsurface Characterization,['Velocity Model Building'],FWI,A Physics-Based Neural-Network Way to Perform Seismic Full Waveform Inversion,IEEE Access,['ANN'],['FC'],[],[],['Supervised_Learning'],[],[],[],['synthetic'],[18000],[],[],[],"@@ proposed a physics-based deep-learning approach for FWI. In this approach, a wave-equation-based forward modeling is performed using a neural network.  The network receives the shot locations as its input and calculates a synthetic wavefiled via forward passing through a network in which each neuron computes the Laplacian in acoustic extrapolation via convolution (preforms wave extrapolation within one time step). Thus, the trainable parameters of the deep neural network can be viewed as a representation of the velocity model which their optimization through network training (and using observed data) acts as an inversion procedure. In this approach, solving wave equation and implementing boundary conditions for seismic wave simulation (forward problem) and the gradient calculation for the model optimization (inverse problem) all are implemented in a deep-learning platform taking advantage of automatic differentiation and GPU parallel computation power these platforms."
Rojas-Gómez,2020,Inverse Problems,Active Seismology,Subsurface Characterization,['Velocity Model Building'],FWI,Physics-Consistent Data-Driven Waveform Inversion With Adaptive Data Augmentation,IEEE-GRSL,['ANN'],['CNN'],[],"[32, 64, 128, 256, 512, 512, 256, 128, 64, 32]",['Semi-Supervised_Learning'],[],[],[],['synthetic'],[199600],[],[],[],"@@ describe a semi-supervised approach for seismic FWI that incorporates the physics model into the learning procedure. Specifically, this physics-consistent data-driven full waveform inversion consists of a carefully designed encoder-decoder structured neural network and an adaptive data augmentation technique. This augmentation employs the forward model to produce new training data that are more representative of the solution we seek."
Song,2021,Inverse Problems,Active Seismology,Subsurface Characterization,['Impedance Model Building'],Prestack,Semi-supervised learning seismic inversion based on Spatio-temporal sequence residual modeling neural network,Journal of Petroleum Science and Engineering,['ANN'],"['CNN', 'FC', 'RNN']",['GRU'],"['?', '?', '?', '?']","['Supervised_Learning', 'Transfer_Learning']",[],[],['time'],[],[],[],[],[], *$* obtaining P-impedance of the subsurface from the zero-offset seismic data and initial model of P impedance.
Sun,2020,Inverse Problems,Active Seismology,Subsurface Characterization,['Velocity Model Building'],FWI,ML-descent: An optimization algorithm for full-waveform inversion using machine learning,Geophysics,['ANN'],"['RNN', 'CNN', 'FC']","['LSTM', 'Autoencoder']","[6, 32, 32, 18, 32, 32, 6]","['Supervised_Learning', 'Meta_Learning']",[],[],[],[],[],[],[],[]," @@  used meta-learning to learn an optimization algorithm for FWI. In this approach, a recurrent neural network (RNN) takes the gradient of a misfit function at one step as its input and outputs the updating direction based on the input and the history of the past updates. The optimization is performed in a low dimensional latent space that itself is learned by a variational autoencoder in a self-supervised fashion. This can act as a regularization and improve the robustness of the model. "
Sun,2020,Inverse Problems,Active Seismology,Subsurface Characterization,['Velocity Model Building'],FWI,A theory-guided deep-learning formulation and optimization of seismic waveform inversion,Geophysics,['ANN'],['RNN'],['LSTM'],[],['Supervised_Learning'],[],[],[],[],[],[],[],[]," @@ discussed a theory guided waveform inversion using a RNN designed to emulate wave propagation. authors confirmed that the training stage within such a waveform RNN is equivalent to the optimization of standard, gradient-based FWI. A single RNN cell is set up using the finite-difference operator, which takes the wavefield at one past instant as input and produces the modeled shot record (i.e., the projection of the wavefield onto the measurement surface) at the current instant, saving the modeled wavefield of this block in memory for the next time step. In other words, backpropagation through the network, a standard component of deep learning network training, amounts to backpropagation of the residual wavefield in time. When the forward propagation of information through the network mimics the forward propagation of a wavefield through a heterogeneous medium, the associated RNN training process is a form of waveform inversion. Derivation of the gradient for a least-squares-based training of the waveform RNN can be shown to be equivalent to that of FWI under certain assumptions. In other words, it is correct to refer to FWI as a strongly constrained, theory-designed deep-learning network. demonstrated that in the mapping between velocity and wave data, the physics of wave propagation can be explicitly enforced within a wave theory designed (i.e., physics-based) RNN. developed a theory-designed recurrent neural network (RNN) that allows single- and multidimensional scalar acoustic seismic forward-modeling problems to be set up in terms of its forward propagation. They find that training such a network and updating its weights using measured seismic data then amounts to a solution of the seismic inverse problem and is equivalent to gradient-based seismic full-waveform inversion (FWI). "
Sun,2020,Inverse Problems,Active Seismology,Subsurface Characterization,['Velocity Model Building'],FWI,Physics-guided deep learning for seismic inversion with hybrid training and uncertainty analysis,Geophysics,['ANN'],"['CNN', 'RNN']",[],"[16, 32, 32, 64, 64, 128, 128, 256, 256, 512, 512, 512, 256, 256, 256, 128, 128, 128, 64, 64, 64, 32, 32]",['Semi-Supervised_Learning'],['raw shot gathers'],[],['time'],['synthetic'],[16000],['R2'],"[0.77, 0.95]",[]," @@ Deep learning represents a plausible class of methods for seismic inversion, which may avoid some of the issues of purely descent-based approaches. However, any generic deep learning network capable of relating each elastic property cell value to each sample in a seismic dataset would require a very large number of degrees of freedom. Two approaches might be taken to train such a network. First, by invoking a massive and exhaustive training dataset; second, by working to reduce the degrees of freedom by enforcing physical constraints on model-data relationship. The second approach is referred to as “physics-guiding”. propose a hybrid network design, involving both deterministic, physics-based modelling and data-driven deep learning components. From an optimization standpoint, both a data-driven model misfit (i.e., standard deep learning), and now a physics-guided data residual (i.e., a wave propagation network), are simultaneously minimized during the training of the network. In this physics-guided framework, raw shot gathers are input into the deep neural network; the estimated subsurface model parameters by the deep neural network are then used as inputs for the physics-based RNN, from which we obtain simulated seismic records. "
Wang,2020,Inverse Problems,Active Seismology,Subsurface Characterization,['Velocity Model Building'],Prestack,Velocity model building in a crosswell acquisition geometry with image-trained artificial neural networks,Geophysics,['ANN'],"['CNN', 'FC']",[],"[6000, 6000, 6000, 64, 64, 128, 128, 256, 256, 5122, 512, 1024, 1024, 512, 512, 128, 128, 64, 64]",['Supervised_Learning'],['common-source gather'],['P-wave velocity models'],['time'],['synthetic'],[82775],['R2'],[],[]," @@ estimated P-wave velocity models directly from prestack common-source gathers. They used smoothed version of natural images as velocity models to produce a large training set. The network is trained purely on the images (output as velocity models) and corresponding simulated seismic traces. proposed an architecture to solve a cross-well acquisition case in hydrocarbon production sites. This type of acquisition is obtained from within existing wells; as a second step, the subsurface models are modified to locally honor the well information, which can be interpreted as a calibration step that makes the subsurface model more accurate, in particular around the wells. The network architecture is an encoder–decoder based on 2D CNN layers, which is similar to the one introduced in [30]. The main modification is the introduction of a three-layer FC network to preprocess the input data before the fully CNN (FCNN) encoder–decoder network described in [30]; The novelty of this work is the use of natural images to train the network, in this case, samples from the COCO [60] collection, which are transformed into synthetic velocity models, so then seismic modeling can be used to produce seismic data. The argument behind is that the variety of shapes can create richer scenarios for learning. A considerable effort is focused on sensitivity analysis of the accuracy with respect to the network architecture, including different levels of noise added to the data set. Once the network is trained with natural images, the testing setup uses different groups of synthetic models popular in geophysics, the results are quantitatively expressed through the R2 metric range from 0.77 to 0.95, and visual inspection indicates that fine grain events are not resolved properly; however. the main structures are, in general, well placed."
Wang,2020,Inverse Problems,Active Seismology,Subsurface Characterization,['Impedance Model Building'],,Well-Logging Constrained Seismic Inversion Based on Closed-Loop Convolutional Neural Network,IEEE-TGRS,['ANN'],['CNN'],['U-Net'],"[64, 64, 128, 128, 256, 256, 512, 512, 1024, 1024, 512, 512, 256, 256, 128, 128, 64, 64]",['Semi-Supervised_Learning'],['Seismic data'],['Impedance'],['time'],['synthetic'],[476],['MSE'],[],"['CSSI', 'DnCNN', 'LSTM', 'open CNN']", @@ Acoustic Impedance - * proposed a semi-supervised approach for acoustic impedance inversion. The closed-loop CNN architecture proposed in this study composed of two sub-networks (two U-Nets) named forward and backward networks for simultaneous learning of forward modeling (mapping high-frequency AI to seismic data) and inversion (mapping from seismic data to impedance). A cycle-consistency loss is used to incorporate both labeled and unlabeled seismic data into the training process. Low-frequency AI is interpolated by well-logging traces based on stratigraphic information and used as a constrain for optimization. 
Wang,2020,Inverse Problems,Active Seismology,Subsurface Characterization,['Impedance Model Building'],,Physics-Constrained Seismic Impedance Inversion Based on Deep Learning,IEEE-GRSL,['ANN'],['CNN'],['U-Net'],"[64, 64, 128, 128, 256, 256, 512, 512, 1024, 1024, 512, 512, 256, 256, 128, 128, 64, 64]",['Semi-Supervised_Learning'],"['Seismic data', 'time value (F2)', 'Connected Component (F1)']",['Impedance'],['time'],['synthetic'],[],['MSE'],[],"['Semi-CRNN', 'Stage2']"," @@ Acoustic Impedance - proposed a closed-loop framework that performs seismic forward and acoustic impedance inversion. The proposed network consists of three main parts: forward-CNN, backward-CNN, and bilateral filtering. The forward-CNN learns to map impedance data to seismic traces. The backward-CNN takes seismic data and two other heuristic features (i.e. connected components computed from 2D seismic profile and the time value of each point on the seismic profile) as its inputs and invert for the impedance data as its output. The additional features and the bilateral filtering help to reduce the non-uniqueness of the inversion problem and improve the spatial continuity of the inverted results by constraining the inversion procedure. The forward modeling is based on Robinson convolution model that provides some physics-based constrains for the modeling. The optimization is done based on a loss function composed of three terms associated with three parts of the network. "
Wu,2020,Inverse Problems,Active Seismology,Subsurface Characterization,['Impedance Model Building'],Prestack,Seismic Impedance Inversion Using Fully Convolutional Residual Network and Transfer Learning,IEEE-GRSL,['ANN'],['CNN'],['ResNet'],"[16, 16, 16]","['Supervised_Learning', 'Transfer_Learning']",[],[],[],[],[10601],[],[],[],"@@ Impedance - proposed a trace-to-trace fully convolutional residual network (FCRN) for impedance model building from prestack seismic data. After training with appropriate data, the FCRN can effectively predict impedance with high accuracy, and have good robustness against noise and phase difference. However, it cannot give acceptable results in training and predicting models with different geological features. Transfer learning is later introduced to ease this problem. Marmousi2 and Overthrust models are used to verify the effectiveness of the proposed method. Tests show that after fine-tuned by five traces of Overthrust model, the FCRN trained on the Marmousi2 model can give a comparable result similarly predicted by the FCRN trained purely on the Overthrust model."
Wu,2020,Inverse Problems,Active Seismology,Subsurface Characterization,['Impedance Model Building'],,Semi-Supervised Learning for Seismic Impedance Inversion Using Generative Adversarial Networks,Remote Sensing,['ANN'],['CNN'],['GAN'],"[16, 16, 16, 16, 16, 16, 16, 1]",['Semi-Supervised_Learning'],[],[],[],['synthetic'],[13500],"['MSE', 'PCC', 'R2']","[0.018, 0.995, 0.987]",['CNN'],"@@ impedance - but its performance often not fully explored for the lack of adequate labeled data (i.e., well logs) in training process. To alleviate this problem, we propose a semi-supervised learning workflow based on generative adversarial network (GAN) for acoustic impedance inversion. The workflow contains three networks: a generator, a discriminator and a forward model. The training of the generator and discriminator are guided by well logs and constrained by unlabeled data via the forward model."
Yuan,2020,Inverse Problems,Active Seismology,Subsurface Characterization,['Velocity Model Building'],,Time-lapse velocity imaging via deep learning,GJI,['ANN'],['CNN'],[],"[8, 16, 32, 64, 128, 64, 32, 16, 8, 8]",['Supervised_Learning'],[],[],[],['synthetic'],[1000],[],[],[], propose a new time lapse imaging technique that effectively eliminates these limitations and directly produces accurate velocity changes from the time-lapse data. The approach uses a fully convolutional neural network (FCN) to perform the inverse problem. Time-lapse seismic monitoring has emerged as a novel technique to investigate changes in subsurface physical properties over time.
Zhang,2020,Inverse Problems,Active Seismology,Subsurface Characterization,['Velocity Model Building'],,Numerical analysis of a deep learning formulation of elastic full waveform inversion with high order total variation regularization in dierent parameterization,arXive,['ANN'],['FC'],[],[],['Supervised_Learning'],[],[],[],[],[],[],[],[],"have formulated elastic seismic full waveform inversion (FWI) within a deep learning environment. Training this network with a single seismic data set is equivalent to carrying out elastic FWI. There are three main motivations for this eort. The rst is an interest in developing an inversion algorithm which is more or less equivalent to standard elastic FWI but which is ready-made for a range of cloud computational architectures. The second is an interest in algorithms which can later (i.e., not in this paper) be coupled with a more involved training component, involving multiple datasets. The third is a general interest in developing the idea of theory-guiding within machine learning solutions for large geophysical problems, wherein the number of degrees of freedom within a network, and the"
ITURRARAN-VIVEROS,2021,Inverse Problems,Active Seismology,Subsurface Characterization,['Velocity Model Building'],,Machine Learning as a Seismic Prior Velocity Model Building Method for Full-Waveform Inversion: A Case Study from Colombia,Pure and Applied Geophysics,['ANN'],['FC'],[],"[10, 10]",['Supervised_Learning'],[],[],[],[],[],[],[],[], *$* 
Zhang,2020,Inverse Problems,Active Seismology,Subsurface Characterization,['Impedance Model Building'],Prestack,Robust deep learning seismic inversion with a priori initial model constraint,GJI,['ANN'],"['CNN', 'FC']",[],"[32, 32, 6272, 256]","['Supervised_Learning', 'Transfer_Learning']","['seismic trace', 'initial model']",['1D velocity model'],['time'],['synthetic'],[500],['R'],[],[],"@@ it has always been challenging to train a robust network since the real survey has limited labelled data pairs. To partially overcome these issues,we develop a neural network framework with a priori initialmodel constraint to perform seismic inversion. Our network uses two parts as one input for training. One is the seismic data, and the other is the subsurface background model. The labels for each input are the actual model. The proposed method is performed by log-to-log strategy. The training data set is firs generated based on forward modelling. The network is then pre-trained using the synthetic training data set, which is further validated using synthetic data that have not been used in the training step. After obtaining the pre-trained network, we introduce the transfer learning strategy to fine-tune the pre-trained network using labelled data pairs from a real survey to acquire better inversion results in the real survey. The "
Wang,2021,Inverse Problems,Active Seismology,Subsurface Characterization,['Impedance Model Building'],Prestack,Elastic isotropic and anisotropic full-waveform inversions using automatic differentiation for gradient calculations in a framework of recurrent neural networks,Geophysics,['ANN'],['RNN'],[],[],['Supervised_Learning'],[],[],[],[],[],[],[],[], *$* 
Zhang,2020,Inverse Problems,Active Seismology,Subsurface Characterization,['Velocity Model Building'],,Adjoint-Driven Deep-Learning Seismic Full-Waveform Inversion,IEEE-TGRS,['ANN'],"['CNN', 'FC']",['U-Net'],"[64, 64, 128, 128, 256, 256, 512, 512, 1024, 1024, 512, 512, 256, 256, 128, 128, 64, 64]",['Supervised_Learning'],[],[],[],['synthetic'],[3300],"['SSIM', 'PSNR', 'MSE', 'MAE']",[],[],"@@ Regularization-based techniques can mitigate the ill-posedness of FWI, but the iterative method suffers from the cycle-skipping and computational burden problems. To overcome these problems, we develop an adjoint-driven deep-learning FWI (AD-DLFWI) approach which utilizes the fully convolutional network (FCN) to invert subsurface velocity from reflection seismic data. Specifically AD-DLFWI is implemented in a two-step iterative scheme, in which an optimal update result at each step is learned via a FCN-based learned updating operator. The proposed approach uses the seismic image of applying the adjoint operator of the scattering wave equation, which is equivalent to the gradient of classical FWI, as the data engine of FCN. we design a two-step training scheme to successively reconstruct the low and high wavenumber components of subsurface velocity. not only can provide a reliable velocity estimation but also is not sensitive to the cycle-skipping problem."
Zhang,2020,Inverse Problems,Active Seismology,Subsurface Characterization,['Velocity Model Building'],Poststack,Deep-learning full-waveform inversion using seismic migration images,IEEE-TGRS,['ANN'],['CNN'],['U-Net'],"[32, 32, 64, 64, 128, 128, 256, 256, 256, 128, 128, 128, 128, 64, 64, 64, 64, 32, 32, 32]",['Supervised_Learning'],['2D random velocity models'],['2D random velocity models'],[],[],[5500],"['SSIM', 'PSNR', 'MSE', 'MAE']",[],"['LI-DLFWI', 'Classical FWI']"," @@  -  1) It utilizes the reverse time migration (RTM) images of seismic recordings in the common-source image-domain as the input data of the convolutional neural network (CNN) to reconstruct the background velocity. 2) It utilizes the iterative neural network architecture to reconstruct the high-resolution velocity model based on the reconstructed background velocity. Specifically, the high-resolution velocity model can be recovered by using the reconstructed velocity model, RTM image, and gradient of regularization term as the input of neural network architecture. "
Zhang,2020,Inverse Problems,Active Seismology,Subsurface Characterization,['Velocity Model Building'],Prestack,Data-driven seismic waveform inversion: A study on the robustness and generalization,IEEE-TGRS,['ANN'],['CNN'],['GAN'],"[32, 32, 32, 8, 1, 7, 14, 28, 56, 112, 112, 32, 32, 32, 32, 32]","['Supervised_Learning', 'Transfer_Learning']",['seismic shot-gather imagery'],['subsurface velocity map'],['time'],['synthetic'],[50000],[],[],['FWI']," @@ - developed a real-time data-driven technique to reconstruct accurately the subsurface velocities. It is based on a generative adversarial network (GAN) and trained end to end to learn a mapping function from the raw seismic waveform data to the velocity image. Different from other encoder–decoder-based data-driven seismic waveform-inversion approaches, VelocityGAN learns regularization from data and further imposes the regularization to the generator so that inversion accuracy is improved. They further develop a transfer-learning strategy based on VelocityGAN to alleviate the generalization issue. proposed a Wasserstein GAN for velocity model generation from seismograms. The proposed generator has an encoder–decoder architecture, which maps an input shot gather to a velocity model image. A Wasserstein loss with a gradient penalty was utilized to train the discriminator to distinguish between real and fake velocity models. The generator loss is a combination of adversarial loss and image content loss. VMB results were compared against FWI, showing either comparable or better reconstruction quality than FWI, especially in models with fine geological details, such as faults."
Zhu,2020,Inverse Problems,Active Seismology,Subsurface Characterization,['Velocity Model Building'],,"Integrating Deep Neural Networks with Full-waveform Inversion: Reparametrization, Regularization, and Uncertainty Quantication",arXive,['ANN'],"['CNN', 'FC']",[],"[32, 64, 32, 8]",['Supervised_Learning'],[],[],[],[],[],[],[],[], @@ * propose a neural-network-based full waveform inversion method (NNFWI) that integrates deep neural networks with FWI by representing the velocity model with a generative neural network
